Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,None
1.722E+18,14:00:00,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,,,,Personal & Car related issue,,,444,,0,,,
1.72195E+18,22:20:00,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,203,30,,,No,,158,Cash,13,4.1,4,
1.72237E+18,19:59:00,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,238,130,,,No,,386,UPI,40,4.2,4.8,
1.72162E+18,03:15:00,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,,,Driver is not moving towards pickup location,,,,384,,0,,,
1.71991E+18,09:02:00,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,,,No,,822,Credit Card,45,4,3,
1.72085E+18,04:42:00,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,,,No,,173,UPI,41,3.4,4.6,
1.72173E+18,09:51:00,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,133,40,,,No,,140,Cash,49,3.2,4.5,
1.7207E+18,11:12:00,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,,,,Personal & Car related issue,,,344,,0,,,
1.71986E+18,19:19:00,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,,,,,,,839,,0,,,
1.72127E+18,01:31:00,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,,,,Personal & Car related issue,,,893,,0,,,
1.7223E+18,23:33:00,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,35,55,,,No,,164,Cash,46,4.5,3.4,
1.72197E+18,04:03:00,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,238,95,,,No,,399,Cash,18,3.9,4.4,
1.72209E+18,13:18:00,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,126,35,,,No,,330,UPI,8,3,4.8,
1.72124E+18,18:55:00,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,,,,Personal & Car related issue,,,427,,0,,,
1.72112E+18,09:54:00,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,70,95,,,No,,378,UPI,18,4.8,4.1,
1.71992E+18,10:25:00,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,126,95,,,No,,343,UPI,23,3.7,3.6,
1.71996E+18,23:50:00,CNR3211335290,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,,,,,,,366,,0,,,
1.72022E+18,23:42:00,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,140,40,,,No,,401,Cash,8,3.3,3.9,
1.72052E+18,11:11:00,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,42,30,,,No,,343,UPI,17,3,3.8,
1.7208E+18,14:44:00,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,245,70,,,No,,2014,Cash,33,4.2,4.9,
1.72073E+18,20:42:00,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,,,No,,650,Cash,34,4.9,3.4,
1.72048E+18,22:33:00,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168,65,,,No,,231,Cash,2,3.2,3.7,
1.72113E+18,10:17:00,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,,,,Customer was coughing/sick,,,909,,0,,,
1.72003E+18,18:20:00,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,231,145,,,No,,189,Cash,6,4.9,3.3,
1.72004E+18,21:17:00,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56,105,,,No,,311,Cash,28,4.3,3,
1.72142E+18,21:18:00,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,231,50,,,No,,286,UPI,44,4,3.3,
1.72188E+18,03:44:00,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,175,50,,,No,,141,UPI,35,4.7,3.1,
1.72106E+18,17:11:00,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,,,No,,214,UPI,2,3.3,4.5,
1.72237E+18,19:44:00,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,35,145,,,No,,2183,Cash,20,4,4.4,
1.72155E+18,08:26:00,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,,,Driver asked to cancel,,,,604,,0,,,
1.72172E+18,07:04:00,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,,,,,,,802,,0,,,
1.72206E+18,06:18:00,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,,,No,,1095,Cash,38,4.8,4.7,
1.72173E+18,10:17:00,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,,,Driver is not moving towards pickup location,,,,120,,0,,,
